n,Straightforward_double,Iterative_double,Delta_double,Straightforward_float,Iterative_float,Delta_float
100,792070839848374894592.000000,792070839848372142080.000000,2752512.000000,792071639994948648960.000000,792071077044995227648.000000,562949953421312.000000
101,1281597540372345257984.000000,1281597540372340801536.000000,4456448.000000,1281598916110030209024.000000,1281597930947611721728.000000,985162418487296.000000
102,2073668380220720152576.000000,2073668380220712812544.000000,7340032.000000,2073670485736234680320.000000,2073668937623862771712.000000,1548112371908608.000000
103,3355265920593065672704.000000,3355265920593053614080.000000,12058624.000000,3355269542583753244672.000000,3355266727833986138112.000000,2814749767106560.000000
104,5428934300813785825280.000000,5428934300813766950912.000000,18874368.000000,5428940169057476280320.000000,5428935665457848909824.000000,4503599627370496.000000
105,8784200221406852546560.000000,8784200221406821089280.000000,31457280.000000,8784209711641229524992.000000,8784202393291835047936.000000,7318349394477056.000000
106,14213134522220638371840.000000,14213134522220588040192.000000,50331648.000000,14213149880698705805312.000000,14213137495799730536448.000000,12384898975268864.000000
107,22997334743627493015552.000000,22997334743627409129472.000000,83886080.000000,22997359029389981908992.000000,22997338763191658741760.000000,20266198323167232.000000
108,37210469265848131387392.000000,37210469265847997169664.000000,134217728.000000,37210510035988594556928.000000,37210476258991389278208.000000,33776997205278720.000000
109,60207804009475632791552.000000,60207804009475406299136.000000,226492416.000000,60207871317178390151168.000000,60207812770383234334720.000000,58546795155816448.000000
110,97418273275323768373248.000000,97418273275323399274496.000000,369098752.000000,97418381353166984708096.000000,97418291281174437298176.000000,90071992547409920.000000
111,157626077284799409553408.000000,157626077284798805573632.000000,603979776.000000,157626257173945002229760.000000,157626095044358416891904.000000,162129586585337856.000000
112,255044350560123194703872.000000,255044350560122221625344.000000,973078528.000000,255044647534311241678848.000000,255044395332732108931072.000000,252201579132747776.000000
113,412670427844922604257280.000000,412670427844920993644544.000000,1610612736.000000,412670886693857734426624.000000,412670490377090525822976.000000,396316767208603648.000000
114,667714778405045832515584.000000,667714778405043148161024.000000,2684354560.000000,667715570256965995069440.000000,667714921738619653718016.000000,648518346341351424.000000
115,1080385206249968436772864.000000,1080385206249964141805568.000000,4294967296.000000,1080386456950823729496064.000000,1080385448144507198504960.000000,1008806316530991104.000000
116,1748099984655014403506176.000000,1748099984655007424184320.000000,6979321856.000000,1748102099265383762493440.000000,1748100369883126852222976.000000,1729382256910270464.000000
117,2828485190904982974496768.000000,2828485190904971700207616.000000,11274289152.000000,2828488556216207491989504.000000,2828485962142822126583808.000000,2594073385365405696.000000
118,4576585175559997378002944.000000,4576585175559979124391936.000000,18253611008.000000,4576590511366403178627072.000000,4576586476141137054662656.000000,4035225266123964416.000000
119,7405070366464980889370624.000000,7405070366464950824599552.000000,30064771072.000000,7405079355812986822328320.000000,7405072438283959181246464.000000,6917529027641081856.000000
120,11981655542024978804244480.000000,11981655542024929412120576.000000,49392123904.000000,11981669867179390000955392.000000,11981658337964343932485632.000000,11529215046068469760.000000
121,19386725908489960767356928.000000,19386725908489879162978304.000000,81604378624.000000,19386748646531624519860224.000000,19386730199787550810308608.000000,18446744073709551616.000000
122,31368381450514939571601408.000000,31368381450514810722582528.000000,128849018880.000000,31368420819554023734509568.000000,31368388537751894742794240.000000,32281802128991715328.000000
123,50755107359004900338958336.000000,50755107359004685590593536.000000,214748364800.000000,50755169466085648254369792.000000,50755118737539445553102848.000000,50728546202701266944.000000
124,82123488809519857090428928.000000,82123488809519496313176064.000000,360777252864.000000,82123594897325690416267264.000000,82123502663605321868509184.000000,92233720368547758080.000000
125,132878596168524766019321856.000000,132878596168524181903769600.000000,584115552256.000000,132878768975097357098024960.000000,132878621401144767421612032.000000,147573952589676412928.000000
126,215002084978044623109750784.000000,215002084978043695396814848.000000,927712935936.000000,215002354649051010659516416.000000,215002114841378052435345408.000000,239807672958224171008.000000
127,347880681146569371949203456.000000,347880681146567860120715264.000000,1511828488192.000000,347881132847520404612317184.000000,347880727019150783002181632.000000,405828369621610135552.000000
128,562882766124614029418692608.000000,562882766124611555517530112.000000,2473901162496.000000,562883505943315488981385216.000000,562882841860528835437527040.000000,664082786653543858176.000000
129,910763447271183538806849536.000000,910763447271179415638245376.000000,4123168604160.000000,910764675684324041012805632.000000,910763568879679618439708672.000000,1106804644422573096960.000000
130,1473646213395797705664495616.000000,1473646213395791108594728960.000000,6597069766656.000000,1473648107840663235155984384.000000,1473646336953232159039029248.000000,1770887431076116955136.000000
131,2384409660666981107032391680.000000,2384409660666970661671927808.000000,10445360463872.000000,2384412857311963571006996480.000000,2384409905832911777478737920.000000,2951479051793528258560.000000
132,3858055874062778812696887296.000000,3858055874062761770266656768.000000,17042430230528.000000,3858060965152626806162980864.000000,3858056242786143936517767168.000000,4722366482869645213696.000000
133,6242465534729759919729278976.000000,6242465534729732431938584576.000000,27487790694400.000000,6242473822464590377169977344.000000,6242466148619055713996505088.000000,7673845534663173472256.000000
134,10100521408792539831937794048.000000,10100521408792493652449427456.000000,46179488366592.000000,10100535082765122362685784064.000000,10100522096257294471161446400.000000,12986507827891524337664.000000
135,16342986943522301950690328576.000000,16342986943522227183899639808.000000,74766790688768.000000,16343008905229712739855761408.000000,16342988835172160543863603200.000000,20070057552195992158208.000000
136,26443508352314841782628122624.000000,26443508352314723035372322816.000000,118747255799808.000000,26443545168586455819952848896.000000,26443509750837834297613746176.000000,35417748621522339102720.000000
137,42786495295837143733318451200.000000,42786495295836950219271962624.000000,193514046488576.000000,42786552893224547842397306880.000000,42786500947193236276299956224.000000,51946031311566097350656.000000
138,69230003648151989913993084928.000000,69230003648151673254644285440.000000,316659348799488.000000,69230100422994245097172762624.000000,69230010698031070573913702400.000000,89724963174523259060224.000000
139,112016498943989133647311536128.000000,112016498943988623473916248064.000000,510173395288064.000000,112016658038585275809215283200.000000,112016516367590789719858872320.000000,141670994486089356410880.000000
140,181246502592141132357397643264.000000,181246502592140287932467511296.000000,844424930131968.000000,181246767906312486645678473216.000000,181246522343255377424127361024.000000,245563057109221551112192.000000
141,293263001536130283596895223808.000000,293263001536128911406383759360.000000,1372190511464448.000000,293263416500164796715603329024.000000,293263038710846167143986233344.000000,377789318629571617095680.000000
142,474509504128271451138664955904.000000,474509504128269199338851270656.000000,2251799813685248.000000,474510184406477283361281802240.000000,474509579943567476046694449152.000000,604462909807314587353088.000000
143,767772505664401840288676446208.000000,767772505664398040376490852352.000000,3799912185593856.000000,767773600906642080076885131264.000000,767772618654413643190680682496.000000,982252228436886204448768.000000
144,1242282009792673221058597224448.000000,1242282009792667310084086300672.000000,5910974510923776.000000,1242283860870983089352490352640.000000,1242282198597981119237375131648.000000,1662273001970115115220992.000000
145,2010054515457075202084762025984.000000,2010054515457065350460577153024.000000,9851624184872960.000000,2010057537335488895343698903040.000000,2010054817252394762428055814144.000000,2720083094132915643088896.000000
146,3252336525249748423143359250432.000000,3252336525249732660544663453696.000000,15762598695796736.000000,3252341398206471984696189255680.000000,3252336864734648429836784107520.000000,4533471823554859405148160.000000
147,5262391040706823625228121276416.000000,5262391040706797729530263896064.000000,25895697857380352.000000,5262399086657688331868534996992.000000,5262391833102770644093486759936.000000,7253554917687775048237056.000000
148,8514727565956573174271387369472.000000,8514727565956530390074927349760.000000,42784196460019712.000000,8514740182632705412907430576128.000000,8514728697837419073930270867456.000000,11484795286338977159708672.000000
149,13777118606663397925399415488512.000000,13777118606663328119605191245824.000000,69805794224242688.000000,13777139873753303552090552926208.000000,13777120530940189718023757627392.000000,19342813113834066795298816.000000
150,22291846172619972225570709700608.000000,22291846172619859635580025438208.000000,112589990684262400.000000,22291881265311828579627158208512.000000,22291849833240518599268615847936.000000,31432071309980358542360576.000000
151,36068964779283370150970125189120.000000,36068964779283185503385402998784.000000,184647584722190336.000000,36069019930139312517088536428544.000000,36068969155254888702663198769152.000000,50774884423814425337659392.000000
152,58360810951903342376540834889728.000000,58360810951903045138965428436992.000000,297237575406452736.000000,58360898777599501867457345224704.000000,58360816570643768072673465204736.000000,82206955733794783880019968.000000
153,94429775731186717031110587449344.000000,94429775731186230642350831435776.000000,486388759756013568.000000,94429921125590453613804231065600.000000,94429785725898656775336663973888.000000,135399691796838467567091712.000000
154,152790586683090068414850677080064.000000,152790586683089275781316259872768.000000,792633534417207296.000000,152790824738893233939778275115008.000000,152790602296542424848010129178624.000000,222442350809091768145936384.000000
155,247220362414276803460359774011392.000000,247220362414275506423667091308544.000000,1297036692682702848.000000,247220745864483687553582506180608.000000,247220378351034524706313395503104.000000,367513449162847269110677504.000000
156,400010949097366925918405979537408.000000,400010949097364764190584841699328.000000,2161727821137838080.000000,400011580274783478410394178945024.000000,400010999990390063388390319980544.000000,580284393415022003858964480.000000
157,647231311511643729378765753548800.000000,647231311511640270614251933007872.000000,3458764513820540928.000000,647232345482080279798043480424448.000000,647231378341424588094703715483648.000000,967140655691703339764940800.000000
158,1047242260609010655297171733086208.000000,1047242260609005034804836774707200.000000,5620492334958379008.000000,1047243964442489985876571249967104.000000,1047242339646188423814960444866560.000000,1624796301562061610805100544.000000
159,1694473572120654384675937486635008.000000,1694473572120645449534276783570944.000000,8935141660703064064.000000,1694476232553317810338347549196288.000000,1694473756673239239577797750947840.000000,2475880078570760549798248448.000000
160,2741715832729665184088297295577088.000000,2741715832729650772569489709989888.000000,14411518807585587200.000000,2741720274367060251551185980358656.000000,2741715941576922752720223833423872.000000,4332790137498830962146934784.000000
161,4436189404850319856994610933923840.000000,4436189404850296222103766493560832.000000,23634890844440363008.000000,4436196506920378061889533529554944.000000,4436189698250161992298021584371712.000000,6808670216069591511945183232.000000
162,7177905237579985617543660532924416.000000,7177905237579947571134008506974208.000000,38046409652025950208.000000,7177916781287438313440719509913600.000000,7177905639827084745018245417795584.000000,11141460353568422474092118016.000000
163,11614094642430305474538271466848256.000000,11614094642430243216777022697111552.000000,62257761248769736704.000000,11614113288207816375330253039468544.000000,11614095957047266380006404451729408.000000,17331160549995323848587739136.000000
164,18791999880010292245003436606619648.000000,18791999880010190787911031204085760.000000,101457092405402533888.000000,18792031307435293974151247448506368.000000,18792001596874351125024649869524992.000000,29710560942849126597578981376.000000
165,30406094522440600025384717287161856.000000,30406094522440434004688053901197312.000000,166020696663385964544.000000,30406144595643110349481500487974912.000000,30406097553921617505031054321254400.000000,47041721492844450446166720512.000000
166,49198094402450899187917181534863360.000000,49198094402450622486756075891589120.000000,276701161105643274240.000000,49198178378958482894393297734729728.000000,49198099150795968630055704190779392.000000,79228162514264337593543950336.000000
167,79604188924891494601615880394637312.000000,79604188924891061103130148220174336.000000,433498485732174462976.000000,79604322974601593243874798222704640.000000,79604199180597664705847308310282240.000000,123794003928538027489912422400.000000
168,128802283327342403012905098784276480.000000,128802283327341683589886224111763456.000000,719423018874672513024.000000,128802501353560076138268095957434368.000000,128802293379633476194381912904564736.000000,207973926599943886183052869632.000000
169,208406472252233906837893016033689600.000000,208406472252232726246272298622386176.000000,1180591620717411303424.000000,208406829279921826523663993776635904.000000,208406492560231140900229221214846976.000000,336719690685623434772561788928.000000
170,337208755579576291404054041108414464.000000,337208755579574372942670375315046400.000000,1918461383665793368064.000000,337209320729961588378889890541076480.000000,337208766132823988528526735733424128.000000,554597137599850363154807652352.000000
171,545615227831810272028923351980310528.000000,545615227831807099188942673937432576.000000,3172839980678042877952.000000,545616189623964672034722681089687552.000000,545615278500095757994840355334258688.000000,911123868914039882325755428864.000000
172,882823983411386637219953687926931456.000000,882823983411381472131613049252478976.000000,5165088340638674452480.000000,882825549968007517545781368402739200.000000,882824044632919746523367091067682816.000000,1505335087771022414277335056384.000000
173,1428439211243196983035853334745448448.000000,1428439211243188423746603133513498624.000000,8559289250201231949824.000000,1428441779206053446712672846264401920.000000,1428439402361178018782545039945891840.000000,2376844875427930127806318510080.000000
174,2311263194654583767829759612348792832.000000,2311263194654569895878216182765977600.000000,13871951543429582815232.000000,2311267249945898449994116621123190784.000000,2311263446994097765305912131013574656.000000,3802951800684688204490109616128.000000
175,3739702405897780750865612947094241280.000000,3739702405897758319624819316279476224.000000,22431240793630814765056.000000,3739709029151951896706789467387592704.000000,3739703007811600812617132358047367168.000000,6021340351084089657109340225536.000000
176,6050965600552364813843277738795859968.000000,6050965600552328215503035499045453824.000000,36598340242239750406144.000000,6050976120641525318172230901422882816.000000,6050966613262023606451719676148842496.000000,9507379501711720511225274040320.000000
177,9790668006450145564708890685890101248.000000,9790668006450086535127854815324930048.000000,59029581035870565171200.000000,9790685466706127271936370742986276864.000000,9790669621073624419068852034196209664.000000,15845632502852867518708790067200.000000
178,15841633607002511559143789142097264640.000000,15841633607002414750630890314370383872.000000,96808512898827726880768.000000,15841662221172952704223302392760762368.000000,15841636868160948139635272458696654848.000000,25353012004564588029934064107520.000000
179,25632301613452659485035921262809972736.000000,25632301613452503646941986564517920768.000000,155838093934698292051968.000000,25632348955529680204389074632450244608.000000,25632305855409272444589423744541261824.000000,43100120407759799650887908982784.000000
180,41473935220455173405362951839729844224.000000,41473935220454918397572876878888304640.000000,255007790074960841539584.000000,41474011176702632908612377025211006976.000000,41473942723570220584224696203237916672.000000,68453132412324387680821973090304.000000
181,67106236833907832890398873102539816960.000000,67106236833907426766881346313051439104.000000,406123517526789488377856.000000,67106360132232313113001451657661251584.000000,67106248578979493028814119947779178496.000000,111553252820084187331709882073088.000000
182,108580172054363020462861273551205302272.000000,108580172054362340442087740322294530048.000000,680020773533228910772224.000000,108580368773633745565155025689465847808.000000,108580196373152114525956422137829916672.000000,172400481631039198603551635931136.000000
183,175686408888270843908527180914454691840.000000,175686408888269786098435018113926823936.000000,1057810092162800527867904.000000,175686739047070860503991689320752742400.000000,175686434810926805728935330111983452160.000000,304236144054775056359208769290240.000000
184,284266580942633883260854385944240848896.000000,284266580942632107651056826957640499200.000000,1775609797558986600349696.000000,284267117961909407894981926983844233216.000000,284266631184078920254891752249813368832.000000,486777830487640090174734030864384.000000
185,459952989830904764948313429815857250304.000000,459952989830901893749491845071567323136.000000,2871198821584744289927168.000000,inf,inf,nan
186,744219570773538610430235952802936389632.000000,744219570773534076958412397943531241472.000000,4533471823554859405148160.000000,inf,inf,nan
187,1204172560604443450936413108533117059072.000000,1204172560604436046265767968929421983744.000000,7404670645139603695075328.000000,inf,inf,nan
188,1948392131377982212482376513164700286976.000000,1948392131377970123224180366872953225216.000000,12089258196146291747061760.000000,inf,inf,nan
189,3152564691982425814534517073526464184320.000000,3152564691982406471721403239459668885504.000000,19342813113834066795298816.000000,inf,inf,nan
190,5100956823360408027016893586691164471296.000000,5100956823360376594945583606332622110720.000000,31432071309980358542360576.000000,inf,inf,nan
191,8253521515342834446014320467532216008704.000000,8253521515342782462204077038477703643136.000000,51983810243429054512365568.000000,inf,inf,nan
192,13354478338703243077494123861537967833088.000000,13354478338703158452686750837495738400768.000000,84624807373024042229432320.000000,inf,inf,nan
193,21607999854046078732434263943699358547968.000000,21607999854045940914890827875973442043904.000000,137817543436067725916504064.000000,inf,inf,nan
194,34962478192749321809928387805237326381056.000000,34962478192749099367577578713469180444672.000000,222442350809091768145936384.000000,inf,inf,nan
195,56570478046795410213769208665970082578432.000000,56570478046795042700320045818700971900928.000000,367513449162847269110677504.000000,inf,inf,nan
196,91532956239544741695104153388240806608896.000000,91532956239544142067897624532170152345600.000000,599627206528856070654263296.000000,inf,inf,nan
197,148103434286340142237466805137177491537920.000000,148103434286339175096811113433837726597120.000000,967140655691703339764940800.000000,inf,inf,nan
198,239636390525884883932570958525418298146816.000000,239636390525883336507521851800074674241536.000000,1547425049106725343623905280.000000,inf,inf,nan
199,387739824812225064855663991330729380282368.000000,387739824812222511604332965233912400838656.000000,2553251331026096816979443712.000000,inf,inf,nan
200,627376215338109948788234949856147678429184.000000,627376215338105848111854817033987075080192.000000,4100676380132822160603348992.000000,inf,inf,nan
201,1015116040150335091015151396523144239906816.000000,1015116040150328282344935326931632294723584.000000,6808670216069591511945183232.000000,inf,inf,nan
202,1642492255488445117174638801715559099531264.000000,1642492255488433975714285233293085007413248.000000,11141460353568422474092118016.000000,inf,inf,nan
203,2657608295638780208189790198238703339438080.000000,2657608295638762258059220560224717302136832.000000,17950130569638013986037301248.000000,inf,inf,nan
204,4300100551127225944334448642644399888531456.000000,4300100551127196233773505793517802309550080.000000,29710560942849126597578981376.000000,inf,inf,nan
205,6957708846766006771494258483573240677531648.000000,6957708846765958491832726353742519611686912.000000,48279661532129830721065844736.000000,inf,inf,nan
206,11257809397893233334798726768907778015625216.000000,11257809397893154106636212504570184471674880.000000,79228162514264337593543950336.000000,inf,inf,nan
207,18215518244659240106292985252481018693156864.000000,18215518244659113836408978143692978982486016.000000,126269884007108788039710670848.000000,inf,inf,nan
208,29473327642552473441091712021388796708782080.000000,29473327642552265467165112077502613655912448.000000,207973926599943886183052869632.000000,inf,inf,nan
209,47688845887211711071504618703109265603690496.000000,47688845887211374351813933079674493041901568.000000,336719690685623434772561788928.000000,inf,inf,nan
210,77162173529764194416116645007540261505466368.000000,77162173529763639818979045157177106697814016.000000,554597137599850363154807652352.000000,inf,inf,nan
211,124851019416975905487621263710649527109156864.000000,124851019416975014170792978236851599739715584.000000,891316828285473797927369441280.000000,inf,inf,nan
212,202013192946740099903737908718189788614623232.000000,202013192946738673796812651960113104823517184.000000,1426106925256758076683791106048.000000,inf,inf,nan
213,326864212363716064812481058127092510881742848.000000,326864212363713687967605630196964704563232768.000000,2376844875427930127806318510080.000000,inf,inf,nan
214,528877405310456204330300223977451096268341248.000000,528877405310452322150337025024909012614774784.000000,3882179963198952542083653566464.000000,inf,inf,nan
215,855741617674172229528700024972374810378108928.000000,855741617674166049732023912354042513949982720.000000,6179796676112618332296428126208.000000,inf,inf,nan
216,1384619022984628513087162763214163500190400512.000000,1384619022984618371882360937378951526564757504.000000,10141204801825835211973625643008.000000,inf,inf,nan
217,2240360640658801059528512845243888684744310784.000000,2240360640658784263158059821204318853426839552.000000,16796370453024039569831317471232.000000,inf,inf,nan
218,3624979663643429889528325665515402559110512640.000000,3624979663643402635040420758583270379991597056.000000,27254487904906932132179118915584.000000,inf,inf,nan
219,5865340304302231265969488567816641618030624768.000000,5865340304302186898198480579787589233418436608.000000,44367771007988029052384612188160.000000,inf,inf,nan
220,9490319967945661155497814233332044177141137408.000000,9490319967945590167064201452485560361761636352.000000,70988433612780846483815379501056.000000,inf,inf,nan
221,15355660272247891153816702572919284298468556800.000000,15355660272247777065262682032273149595180072960.000000,114088554020540646134703288483840.000000,inf,inf,nan
222,24845980240193554844615717262710131469016104960.000000,24845980240193367232326883484758709956941709312.000000,187612288833777951421512074395648.000000,inf,inf,nan
223,40201640512441445998432419835629415767484661760.000000,40201640512441146832890765973490662545528193024.000000,299165541653862138753221956468736.000000,inf,inf,nan
224,65047620752635000843048137098339547236500766720.000000,65047620752634514065217649458249372502469902336.000000,486777830487640090174734030864384.000000,inf,inf,nan
